iter	Passed	Remaining
405	6998	1620
406	7016	1603
407	7034	1586
408	7050	1568
409	7068	1551
410	7085	1534
411	7103	1517
412	7120	1499
413	7138	1482
414	7155	1465
415	7173	1448
416	7191	1431
417	7208	1414
418	7226	1397
419	7244	1379
420	7264	1363
421	7281	1345
422	7299	1328
423	7317	1311
424	7335	1294
425	7352	1277
426	7370	1260
427	7388	1242
428	7406	1225
429	7423	1208
430	7441	1191
431	7458	1174
432	7475	1156
433	7494	1139
434	7514	1122
435	7534	1105
436	7551	1088
437	7569	1071
438	7587	1054
439	7605	1037
440	7624	1020
441	7641	1002
442	7658	985
443	7674	967
444	7691	950
445	7709	933
446	7726	916
447	7742	898
448	7759	881
449	7776	864
450	7793	846
451	7810	829
452	7827	812
453	7845	794
454	7861	777
455	7878	760
456	7895	742
457	7913	725
458	7929	708
459	7947	691
460	7964	673
461	7982	656
462	7998	639
463	8016	621
464	8034	604
465	8052	587
466	8069	570
467	8087	552
468	8103	535
469	8121	518
470	8138	501
471	8156	483
472	8173	466
473	8191	449
474	8208	432
475	8226	414
476	8243	397
477	8261	380
478	8278	362
479	8297	345
480	8315	328
481	8333	311
482	8349	293
483	8367	276
484	8385	259
485	8402	242
486	8419	224
487	8438	207
488	8455	190
489	8473	172
490	8491	155
491	8508	138
492	8526	121
493	8548	103
494	8565	86
495	8584	69
496	8602	51
497	8621	34
498	8638	17
499	8655	0
