iter	Logloss
0	0.6789477716
1	0.662508252
2	0.6508880508
3	0.6361673332
4	0.6273057705
5	0.6161680935
6	0.6066260522
7	0.5992960636
8	0.5916044002
9	0.585041344
10	0.5784593589
11	0.5721154738
12	0.5681496596
13	0.5640246457
14	0.5605732359
15	0.5556135261
16	0.5525850841
17	0.549333993
18	0.5445640917
19	0.5411889581
20	0.5377522828
21	0.5349603022
22	0.5312583096
23	0.529221133
24	0.5261342317
25	0.5238799694
26	0.5214582668
27	0.5188582954
28	0.516757084
29	0.5147905979
30	0.5128267791
31	0.5111209608
32	0.5090806383
33	0.5073541577
34	0.5053479574
35	0.5034113705
36	0.5010235043
37	0.4992054231
38	0.4980158654
39	0.4963698191
40	0.4948267082
41	0.4926562929
42	0.4905475879
43	0.4892911819
44	0.4876436199
45	0.4861984402
46	0.4844794019
47	0.4835593991
48	0.4819254825
49	0.4806558958
50	0.4797061475
51	0.4778294489
52	0.4762175008
53	0.4747509057
54	0.4739398336
55	0.4721829032
56	0.4710848531
57	0.4695670029
58	0.4682484323
59	0.4674208455
60	0.4660668882
61	0.4652191466
62	0.4644223539
63	0.4638017209
64	0.463135
65	0.4617195733
66	0.4602772847
67	0.4586717181
68	0.4578538471
69	0.45663565
70	0.4558877084
71	0.4552636947
72	0.453897893
73	0.4518134538
74	0.4502559634
75	0.4489698249
76	0.4480754755
77	0.4475168763
78	0.446198568
79	0.4457326001
80	0.4444266361
81	0.4436413021
82	0.44210583
83	0.4409488703
84	0.4391597913
85	0.4385160762
86	0.4370472269
87	0.4364274467
88	0.4358741868
89	0.435352845
90	0.4346164823
91	0.4338244284
92	0.432679749
93	0.4314709828
94	0.4309833696
95	0.4294201992
96	0.4285516618
97	0.4277711279
98	0.4270363351
99	0.4263223941
100	0.4251846429
101	0.4243019457
102	0.4240282615
103	0.4235027566
104	0.4228043727
105	0.4214968767
106	0.4205536661
107	0.4194522688
108	0.418590183
109	0.4178225876
110	0.4166363472
111	0.4158614283
112	0.4151563958
113	0.4143857567
114	0.4137334757
115	0.4129997804
116	0.4124510004
117	0.4115816137
118	0.4104102819
119	0.4096840694
120	0.4085816062
121	0.4075066487
122	0.406974278
123	0.4056597471
124	0.4047141386
125	0.4040534376
126	0.4033101439
127	0.4023019496
128	0.4012974194
129	0.4004234014
130	0.3990640642
131	0.3980332156
132	0.3971901547
133	0.3963028344
134	0.3956138509
135	0.3947685762
136	0.3938098241
137	0.3930310697
138	0.3925964295
139	0.3919393265
140	0.3912272688
141	0.3905443932
142	0.3894235577
143	0.3883744873
144	0.3874982263
145	0.3864955353
146	0.3858395333
147	0.384836998
148	0.3838400391
149	0.382718309
150	0.3819220336
151	0.3808968407
152	0.3802227079
153	0.3796459888
154	0.3786393489
155	0.3777356872
156	0.3770760951
157	0.3760389146
158	0.3753744479
159	0.3744448043
160	0.3736750191
161	0.3729714378
162	0.3720021776
163	0.3709998029
164	0.3699229731
165	0.3687451845
166	0.3680226122
167	0.3670232848
168	0.3657988232
169	0.3649548772
170	0.3640394325
171	0.3629617748
172	0.3622823603
173	0.3615193517
174	0.360603042
175	0.3595619249
176	0.3586403421
177	0.3574241362
178	0.3561790775
179	0.3552765441
180	0.354620535
181	0.3534425937
182	0.3527309853
183	0.3514970525
184	0.3503353257
185	0.3491164198
186	0.34851179
187	0.3474008533
188	0.3466372567
189	0.3455845307
190	0.3450147849
191	0.344043304
192	0.3432469116
193	0.3423741412
194	0.3416252198
195	0.3406269525
196	0.3397074204
197	0.338974356
198	0.337611069
199	0.3368122455
200	0.3359014382
201	0.3348241469
202	0.3343037441
203	0.3332623424
204	0.332131456
205	0.3308813185
206	0.3298942954
207	0.3288225219
208	0.3279472211
209	0.3270318717
210	0.3262314319
211	0.3256370553
212	0.3247931501
213	0.3235230091
214	0.3226629302
215	0.3213774809
216	0.3200741935
217	0.3192946083
218	0.3180101909
219	0.3171559059
220	0.3163614384
221	0.3157474674
222	0.3145598707
223	0.3137008723
224	0.3127630248
225	0.3117429098
226	0.3105948344
227	0.3099813708
228	0.3091205252
229	0.3082391451
230	0.307299484
231	0.3064282496
232	0.3052702383
233	0.3044360576
234	0.3033852706
235	0.302408811
236	0.3014775839
237	0.3005805671
238	0.2991221105
239	0.2983630513
240	0.2974764284
241	0.2967740812
242	0.2959636996
243	0.2950795835
244	0.2941371324
245	0.2934891616
246	0.292967334
247	0.2916601201
248	0.2908181136
249	0.290005277
250	0.288871623
251	0.2880216999
252	0.287342716
253	0.286605273
254	0.2856837313
255	0.2846781172
256	0.2840110578
257	0.2829684421
258	0.2820170645
259	0.2815215967
260	0.2808081204
261	0.2795597136
262	0.2789669028
263	0.2783097995
264	0.2772906034
265	0.2763139192
266	0.2752149799
267	0.2744937863
268	0.2740005725
269	0.2734475448
270	0.2724992096
271	0.2713246935
272	0.2704923704
273	0.2698718003
274	0.2691677554
275	0.2685121967
276	0.267840848
277	0.2670399767
278	0.266061959
279	0.2654905392
280	0.2648266855
281	0.2640933585
282	0.2636326029
283	0.2631628995
284	0.2624565726
285	0.2616460269
286	0.2609408867
287	0.2602717141
288	0.2592899704
289	0.2585318944
290	0.2578611595
291	0.2570647795
292	0.2562973795
293	0.2555036894
294	0.254995243
295	0.2541314032
296	0.2533346877
297	0.2525976473
298	0.2518636589
299	0.2511935135
300	0.2502405548
301	0.2497851591
302	0.2492581787
303	0.2484914046
304	0.2480068468
305	0.2472467536
306	0.2463706633
307	0.2457746917
308	0.2451553481
309	0.2446090324
310	0.2437838109
311	0.2431993979
312	0.2424667153
313	0.2416359591
314	0.2409691868
315	0.2398416462
316	0.2392718412
317	0.2384260079
318	0.2375914067
319	0.2366548898
320	0.2358714359
321	0.2353701636
322	0.234823214
323	0.2342935399
324	0.2335969377
325	0.2327844516
326	0.2322786512
327	0.2316814371
328	0.2312152019
329	0.2306628707
330	0.2299103376
331	0.2292228863
332	0.2286210163
333	0.2280362161
334	0.2275332099
335	0.2268510973
336	0.2263817941
337	0.2257582413
338	0.2253280576
339	0.2247108408
340	0.2240306335
341	0.2235281204
342	0.2230953657
343	0.2224167943
344	0.2214382901
345	0.220832202
346	0.2204992812
347	0.2199574748
348	0.2194547747
349	0.2186927873
350	0.218223917
351	0.2179339912
352	0.2175618012
353	0.217052317
354	0.2164367153
355	0.2158353673
356	0.2153732307
357	0.2147653726
358	0.2143641643
359	0.2138205543
360	0.2133283129
361	0.2127778255
362	0.212134212
363	0.2112935602
364	0.2108515213
365	0.2103227276
366	0.2097626282
367	0.209347106
368	0.2086182101
369	0.2080387326
370	0.2076543842
371	0.2070998751
372	0.2065065704
373	0.2059804441
374	0.2054885607
375	0.204927736
376	0.2046035328
377	0.204205782
378	0.2036008328
379	0.2032153071
380	0.2028965728
381	0.2025214245
382	0.2019417276
383	0.2013197065
384	0.200781625
385	0.2004081117
386	0.1998695038
387	0.1992727362
388	0.1986819792
389	0.1982870235
390	0.1975838106
391	0.1972820585
392	0.1967625481
393	0.1963800071
394	0.1959377967
395	0.1956363511
396	0.1952788205
397	0.1947886597
398	0.1942387879
399	0.1938179583
400	0.1933679734
401	0.1931828229
402	0.1925465265
403	0.1920413116
404	0.1917332676
405	0.191336378
406	0.1908915654
407	0.1904279827
408	0.1901400893
409	0.1895386436
410	0.1890073755
411	0.1885728874
412	0.1881657176
413	0.1876817308
414	0.1870988876
415	0.1866430069
416	0.1862081469
417	0.1856737651
418	0.1852258802
419	0.1846830964
420	0.1842822306
421	0.1840338397
422	0.183515062
423	0.183020685
424	0.1826645943
425	0.1822271496
426	0.1816455057
427	0.1808830326
428	0.1805918717
429	0.1798986673
430	0.1795557062
431	0.179154791
432	0.1785769645
433	0.1781130336
434	0.1778005887
435	0.1772382716
436	0.1768974113
437	0.1762771407
438	0.1757583062
439	0.175443391
440	0.174994731
441	0.1745900973
442	0.1742843916
443	0.1740530255
444	0.1736877492
445	0.1734283476
446	0.1727883727
447	0.1724639089
448	0.1722086687
449	0.1719112853
450	0.1712859022
451	0.1709865648
452	0.1706561358
453	0.1702003892
454	0.1699831321
455	0.1695743084
456	0.1691286689
457	0.168522754
458	0.1681577961
459	0.1679168482
460	0.167545748
461	0.1668136398
462	0.1663608387
463	0.1659032375
464	0.1654269609
465	0.1650009574
466	0.1648074169
467	0.1645424163
468	0.1642798744
469	0.1639093823
470	0.1635379647
471	0.1630568875
472	0.1627366443
473	0.1623738358
474	0.1620111927
475	0.1617218823
476	0.1612892978
477	0.1609195617
478	0.1606708572
479	0.1601708101
480	0.1597876182
481	0.1593348509
482	0.1590005994
483	0.1585757543
484	0.1581171463
485	0.1576678091
486	0.1573182537
487	0.1569183627
488	0.156748259
489	0.1563905916
490	0.1557737482
491	0.1555357154
492	0.1550779259
493	0.1547672244
494	0.1544575212
495	0.1542591191
496	0.1537900592
497	0.1533701793
498	0.1530900041
499	0.1527668127
